리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13389087,yo******,2024-03-20 12:03:23.125994,재출간 기다렸는데 드디어 나왔네요!!!,집중돼요,4
13615137,wo******,2024-04-21 23:28:07.777951,"읽고 있는데 기대했던 것만큼 그렇게 일류의 조건도 아니다. 군데군데 단순 스킬을 알려줌에 그치기도 하는 부분이 있고, 공감하기 어려운 부분도 있다. 책 내용이 다소 노후화되었다고 느껴지기도 한다. 생각보다 아쉽다. 최근 나온 책들만큼 인사이트가 깊지도 않다. 그냥 편하게 한번 읽어볼만한 수준이다.",쉬웠어요,3
13613277,ym****,2024-04-21 18:21:12.9726,무라카미 하루키의 분석도 흥미로운 부분,집중돼요,4
13613066,za***,2024-04-21 17:32:13.381927,단 하나의 자기계발서,최고예요,4
13606525,ev*******,2024-04-20 16:01:38.991116,유툽보다가산책인데 좋아요,도움돼요,4
13604200,hy*******,2024-04-20 11:16:47.049737,다시 나와서 좋습니다ㅠㅠ 잘 볼게요!!,도움돼요,4
13603994,bk******,2024-04-20 11:02:52.502629,오래된 책 내용 이지만 읽기 좋아요.,도움돼요,4
13602915,wo******,2024-04-20 09:30:35.596166,간결한 내용이지만 함의는 깊고 좋네요,쉬웠어요,4
13602340,pa******,2024-04-20 09:00:34.28018,좋아요.      ,추천해요,4
13596776,pr******************,2024-04-19 23:06:33.252312,좋은 내용의 책이네요,추천해요,4
13593139,es***,2024-04-19 16:49:03.021049,실천하기 어렵지만 계속하면 탄력붙음,도움돼요,4
13592263,cw********,2024-04-19 15:22:35.705432,어떤 분야든 일류가 되는 비법이 있다.,추천해요,4
13589106,ho****,2024-04-19 09:17:24.484896,책 내용이 좋네요. ,도움돼요,4
13389035,qk********************,2024-03-20 11:36:02.68051,"절판됐던 책인데 다시 출간했다고해서 바로 읽었어요
저에게 아주 필요했던, 와닿는 책이에요",최고예요,4
13388996,bo********,2024-03-20 11:27:06.991924,지친 저에겐 자기개발서적이 필요했어요.  절판되었던 책인데 다시 나와서 구매했습니다  ,도움돼요,4
13388884,sh*******,2024-03-20 10:57:33.009849,절판되었던 책이 무려 18년만에 복간되는건 이유가 다 있겠죠. 좋습니다.,최고예요,4
13388838,da******,2024-03-20 10:50:38.33133,중고책으로 힘들게 구해서 읽었던 책인데 재출간 기다렸습니다. 출간 소식 듣자마자 바로 구매했어요.!,최고예요,4
13388799,my*****,2024-03-20 10:42:10.682525,"재출간소식듣고 바로 달려왔어요. 선배언니 이번주에 개인전할때 선물로 들고갈꺼에요. 제가 감명깊게
읽었던 책이어서 꼭 소개하고 싶었어요.",집중돼요,4
